IDENT LAT_DEG LON_DEG LAT_RAD LON_RAD UNIT_X UNIT_Y UNIT_Z
TJRV 18.2451122200 -65.6434244400 0.31843728063485199 -1.1456938887621151 0.39168033112234474 -0.86519690575368813 0.31308278854982458
TJMZ 18.2556944400 -67.1484722200 0.31862197521602237 -1.1719619279229463 0.36879833240415466 -0.87513261560444888 0.31325819242476405
PR06 18.3000000000 -65.2833333300 0.31939525311496231 -1.139409113285454 0.39698453816505092 -0.86244536873557309 0.31399245596740494
TJCP 18.3129722200 -65.3038888800 0.31962166106525536 -1.1397678753125122 0.39664538785957187 -0.86252312588427038 0.31420740539420283
9PR1 18.3309944400 -66.0983194400 0.31993620814277418 -1.1536333042629745 0.38460832793440008 -0.86784929911121655 0.31450600648584609
TIST 18.3373055500 -64.9733333300 0.32004635779172969 -1.1339985926042715 0.40155841104510515 -0.8600994332491354 0.31461056473590709
VI22 18.3385672200 -64.9407011100 0.32006837808730332 -1.1334290529230364 0.4020452722314285 -0.8598643144045196 0.31463146678296838
PR03 18.3396750000 -65.6246058300 0.32008771249569107 -1.1453654420569661 0.39175068935838298 -0.86459637326104966 0.31464981921347329
PR02 18.3525000000 -66.2363888800 0.32031155097225933 -1.1560430705873594 0.38246830335758863 -0.86866549442575502 0.31486228056219462
PR33 18.3665305500 -66.1543444400 0.32055643026562503 -1.1546111249764044 0.38368061019138888 -0.86804638264050604 0.31509469520748146
2PR9 18.3935611100 -66.0733611100 0.32102820253628289 -1.1531976992286752 0.38484681413585076 -0.86736723663119708 0.31554240042860637
PR42 18.3952777700 -66.0513888800 0.32105816390542019 -1.1528142114711699 0.38517557279915038 -0.86721094824569234 0.31557083097405159
PR99 18.3954250000 -66.0733277700 0.32106073355367787 -1.1531971173359028 0.3848431555344804 -0.86735762943007833 0.31557326931744167
1PR3 18.4056000000 -66.1059666600 0.32123832080506831 -1.153766773430599 0.38432629197467949 -0.86752546446291345 0.31574177709862816
14PR 18.4072888800 -65.7987555500 0.32126779732173938 -1.1484049280623922 0.38896846702700733 -0.86544381644050017 0.31576974561151672
PR30 18.4115416600 -66.1026138800 0.3213420223351024 -1.1537082563805039 0.38436379013397259 -0.86747303273632026 0.31584017209515686
PR17 18.4141136100 -66.0437766600 0.32138691133079905 -1.1526813531687836 0.3852486410590153 -0.86706491371375094 0.31588276301303247
PR21 18.4150000000 -66.1319444400 0.32140238175475577 -1.1542201712239575 0.38391195289768393 -0.86765224543660857 0.31589744128608871
PR68 18.4152777700 -66.0758333300 0.32140722975581903 -1.1532408476075089 0.38476085993888864 -0.86727445548104898 0.31590204103350916
PR13 18.4174472200 -66.0776658300 0.32144509380127645 -1.1532728307660518 0.38472827099557499 -0.86727582648061652 0.31593796590330675
12PR 18.4245805500 -66.0579111100 0.32156959389640777 -1.1529280458592421 0.38501130637693343 -0.86710716988290193 0.31605608663588736
TJSJ 18.4393991600 -66.0021333300 0.32182822743147671 -1.1519545399487892 0.38582199988129495 -0.86665724237463371 0.31630145217370331
TUPJ 18.4455555500 -64.5416666600 0.32193567670701356 -1.1264645879416517 0.40777071294035894 -0.85651149721892861 0.31640338304117527
TJAB 18.4509166600 -66.6754444400 0.32202924572807512 -1.1637060357085469 0.37558589279271315 -0.87107287881658557 0.31649214354433264
02PR 18.4533333300 -66.3669444400 0.32207142457650928 -1.1583216949661443 0.38026522724215189 -0.86902574903718111 0.31653215391305961
PR36 18.4556836300 -66.2246558000 0.32211244504991893 -1.1558382897099593 0.38241696057050767 -0.86806683447942845 0.31657106492046844
PR27 18.4564055500 -66.0722916600 0.32212504493085492 -1.1531790338049899 0.38472239974262601 -0.86704317576590861 0.31658301674922912
TJIG 18.4567777700 -66.0984722200 0.32213154139539668 -1.1536359707770059 0.38432534220877396 -0.86721699881754355 0.31658917906018419
PR34 18.4577777700 -66.1211111100 0.32214899468791663 -1.1540310939465026 0.38398041787123616 -0.8673637342765963 0.3166057345551227
07PR 18.4894166600 -67.0263138800 0.32270119749009296 -1.1698298626811756 0.37016149463400361 -0.87316055762974187 0.31712948221513354
PR28 18.4941805500 -67.0241722200 0.32278434305579579 -1.1697924836627172 0.37018383845791325 -0.8731224415946004 0.31720833489750749
TJBQ 18.4948522200 -67.1294416600 0.32279606590878263 -1.1716297819924477 0.36857758289262688 -0.8737976793650476 0.31721945231225379
PWAK 19.2824944400 166.6366500000 0.33654301597550018 2.9083581969934089 -0.91834472620401997 0.21815989736393157 0.33022601810793534
HI52 19.4330866600 -155.2597230500 0.33917134604238786 -2.7097933629570323 -0.85647386775335455 -0.39466364272215221 0.33270576034822547
HI23 19.5475261100 -155.1083383300 0.34116869123905924 -2.7071512011558232 -0.85482361123571171 -0.39664471102153981 0.33458865326334081
HI04 19.7184805500 -155.1143638800 0.34415240908796235 -2.7072563668425667 -0.85395589218163948 -0.39613294549715189 0.33739890886013651
PHTO 19.7202622200 -155.0484702700 0.34418350509564632 -2.7061063063920412 -0.85349023778745758 -0.39711035805302819 0.33742818128974478
PHKO 19.7387650000 -156.0456311100 0.34450643952741855 -2.7235100462219934 -0.86017221403148336 -0.3821527853767005 0.33773215842884341
PHSF 19.7600133800 -155.5537661900 0.34487729371913345 -2.7149253838929353 -0.85674582638946961 -0.38947104123379506 0.33808119883319177
HI07 19.9204805500 -155.8606444400 0.34767797417699092 -2.7202814197581935 -0.8579521234204831 -0.38448798214926611 0.3407156373004761
PHMU 20.0013269400 -155.6681072200 0.34908900987084229 -2.7169210113365567 -0.85621633459205582 -0.38717040551252008 0.34204190601886114
HI18 20.0217388800 -155.6634694400 0.34944526543056187 -2.7168400668055739 -0.85607391168750224 -0.38718947009589599 0.3423766522047289
PHUP 20.2651944400 -155.8599444400 0.35369436653484843 -2.7202692024534296 -0.85606129578392476 -0.38365317424901163 0.34636584668440579
HI02 20.7456388800 -156.9125250000 0.36207970388574884 -2.7386401988679152 -0.86026245571809956 -0.3667107842160679 0.3542198583104868
PHNY 20.7856111100 -156.9514180500 0.36277735090861329 -2.7393190106465584 -0.86028358210824629 -0.36602990390506163 0.35487218516284924
PHHN 20.7956371600 -156.0144378800 0.3629523384920828 -2.7229656216541618 -0.85412623882365113 -0.38002363655467825 0.35503577821498689
22HI 20.8852138800 -156.4903472200 0.36451574718921986 -2.7312718065781549 -0.85674324600152607 -0.37269420481666243 0.35649690058518635
PHOG 20.8986486100 -156.4304586100 0.36475022746183633 -2.7302265531492123 -0.85627657671062885 -0.37355607955821701 0.35671596488217572
PHJH 20.9629363800 -156.6730316600 0.36587226071710116 -2.7344602515483172 -0.85748235080246349 -0.36976880396579759 0.35776395804494387
MYIG 20.9750000000 -73.6668527700 0.36608281060581066 -1.2857291304184051 0.26258724434988717 -0.89605366671157882 0.35796056413726274
18HI 21.1370000000 -156.7344444400 0.36891024399404143 -2.7355321067621201 -0.8568757393727342 -0.36841848267630911 0.36059920812020113
HI49 21.1479316600 -157.2585725000 0.36910103745375 -2.7446798671112105 -0.86014657723878885 -0.3605380805122021 0.3607771585965126
